count,temperature,command,error,feedback     
   158,27, 111.00,   1.36, 112.36
   159,27, 104.50,   2.10, 106.60
   160,27, 134.50,   1.04, 135.54
   161,27,  75.00,   2.40,  77.40
   162,27, 107.50,   1.48, 108.98
   163,27, 145.00,   0.56, 145.56
   164,27, 105.00,   2.10, 107.10
   165,27,  14.50,   0.38,  14.88
   166,27,  33.50,   1.93,  35.43
   167,27,  38.00,   1.44,  39.44
   168,27, 153.50,   0.21, 153.71
   169,27,  48.50,   2.22,  50.72
   170,27, 108.50,   1.23, 109.73
   171,27,  51.00,   2.35,  53.35
   172,27,  53.00,   1.47,  54.47
   173,27,  75.50,   2.15,  77.65
   174,27, 102.00,   1.71, 103.71
   175,27,  59.00,   1.99,  60.99
   176,27, 133.50,   1.16, 134.66
   177,27, 117.50,   2.13, 119.63
   178,27,  43.00,   2.20,  45.20
   179,27, 143.50,   0.56, 144.06
   180,27, 140.00,   0.68, 140.68
   181,27,  76.00,   2.15,  78.15
   182,27, 144.00,   0.56, 144.56
   183,27,  36.00,   2.06,  38.06
   184,27,  88.00,   2.43,  90.43
   185,27,  94.50,   1.70,  96.20
   186,27,  54.00,   2.48,  56.48
   187,27, 152.00,   0.20, 152.20
   188,27,  42.50,   2.08,  44.58
   189,27, 161.00,  -0.28, 160.72
   190,27,  83.00,   2.17,  85.17
   191,27,  24.50,   1.41,  25.91
   192,27, 107.00,   1.35, 108.35
   193,27,  18.50,   0.64,  19.14
   194,27, 133.00,   0.79, 133.79
   195,27, 138.00,   0.55, 138.55
   196,27, 121.50,   1.89, 123.39
   197,27, 140.50,   0.93, 141.43
   198,27, 130.50,   1.41, 131.91
   199,27, 121.00,   1.63, 122.63
   200,27, 151.00,   0.20, 151.20
   201,27, 103.00,   2.09, 105.09
   202,27,  87.00,   2.31,  89.31
   203,27,  50.00,   2.34,  52.34
   204,27, 130.00,   1.03, 131.03
   205,27, 124.50,   1.89, 126.39
   206,27,  28.00,   1.92,  29.92
   207,27, 163.00,  -0.27, 162.73
   208,27, 111.00,   1.74, 112.74
   209,27, 132.00,   1.03, 133.03
   210,27,  20.00,   1.15,  21.15
   211,27,  17.00,   0.89,  17.89
   212,27, 164.50,  -0.27, 164.23
   213,27, 167.00,  -0.64, 166.36
   214,27, 121.00,   1.76, 122.76
   215,27, 136.00,   0.67, 136.67
   216,27, 117.50,   2.00, 119.50
   217,27,  78.50,   2.41,  80.91
   218,27,  49.00,   2.47,  51.47
   219,27, 167.50,  -0.51, 166.99
   220,27,  78.00,   2.16,  80.16
   221,27,  48.50,   1.96,  50.46
   222,27,  84.50,   2.55,  87.05
   223,27, 100.50,   1.71, 102.21
   224,27,  27.00,   1.79,  28.79
   225,27,  59.00,   1.99,  60.99
   226,27, 149.50,   0.57, 150.07
   227,27,  43.50,   2.33,  45.83
   228,27,  12.50,   0.13,  12.63
   229,27, 143.00,   0.56, 143.56
   230,27, 127.50,   1.52, 129.02
   231,27,  34.00,   1.81,  35.81
   232,27,  31.00,   1.92,  32.92
   233,27, 127.00,   1.15, 128.15
   234,27,  48.00,   2.21,  50.21
   235,27,  78.50,   2.04,  80.54
   236,27, 149.00,   0.32, 149.32
   237,27,  24.50,   1.53,  26.03
   238,27, 113.50,   1.12, 114.62
   239,27, 132.00,   1.03, 133.03
   240,27,  76.00,   2.41,  78.41
   241,27, 151.50,   0.08, 151.58
   242,27, 121.50,   1.76, 123.26
   243,27, 117.00,   1.75, 118.75
   244,27, 114.50,   1.87, 116.37
   245,27,  24.50,   1.91,  26.41
   246,27,  52.50,   1.97,  54.47
   247,27,  92.00,   2.07,  94.07
   248,27,  59.00,   2.11,  61.11
   249,27, 147.00,   0.32, 147.32
   250,27,  69.00,   2.39,  71.39
   251,27,  92.00,   1.57,  93.57
   252,27,  21.50,   1.40,  22.90
   253,27, 111.50,   1.24, 112.74
   254,27, 158.50,   0.09, 158.59
   255,27,  57.00,   2.49,  59.49
   256,27,  78.50,   2.16,  80.66
   257,27, 138.00,   0.55, 138.55
   258,27,  58.00,   2.49,  60.49
   259,27, 158.00,   0.09, 158.09
   260,27, 130.00,   1.40, 131.40
   261,27,  50.50,   2.35,  52.85
   262,27, 122.00,   1.26, 123.26
   263,27,  34.00,   1.55,  35.55
   264,27,  97.00,   1.70,  98.70
   265,27,  96.00,   2.70,  98.70
   266,27, 105.50,   1.85, 107.35
   267,27,  75.00,   2.53,  77.53
   268,27, 168.50,  -0.38, 168.12
   269,27,  29.50,   1.92,  31.42
   270,27,  34.00,   1.43,  35.43
   271,27,  92.00,   1.94,  93.94
   272,27, 161.00,   0.22, 161.22
   273,27,  72.50,   2.52,  75.02
   274,27,  88.50,   2.31,  90.81
   275,27, 127.00,   1.27, 128.27
   276,27,  46.00,   2.33,  48.33
   277,27, 150.00,   0.32, 150.32
   278,27,  33.50,   2.18,  35.68
   279,27, 164.50,  -0.27, 164.23
   280,27, 157.00,   0.59, 157.59
   281,27, 127.00,   1.65, 128.65
   282,27, 158.50,   0.09, 158.59
   283,27,  47.50,   2.34,  49.84
   284,27,  54.50,   1.60,  56.10
   285,27, 154.50,   0.21, 154.71
   286,27,  84.00,   2.30,  86.30
   287,27,  22.50,   1.40,  23.90
   288,27, 138.50,   0.67, 139.17
   289,27,  97.50,   2.21,  99.71
   290,27,  46.00,   1.71,  47.71
   291,27, 139.00,   0.67, 139.67
   292,27, 141.50,   0.55, 142.05
   293,27,  39.00,   1.69,  40.69
   294,27, 153.50,   0.08, 153.58
   295,27, 107.50,   1.73, 109.23
   296,27,  16.50,   0.64,  17.14
   297,27, 166.50,  -0.64, 165.86
   298,27, 153.00,   0.58, 153.58
   299,27, 156.00,  -0.04, 155.96
   300,27,  15.50,   0.51,  16.01
   301,27,  15.00,   1.13,  16.13
   302,27, 100.50,   1.46, 101.96
   303,27, 140.00,   0.68, 140.68
   304,27, 102.50,   2.09, 104.59
   305,27,  17.50,   0.39,  17.89
   306,27, 142.50,   0.68, 143.18
   307,27, 163.50,  -0.52, 162.98
   308,27, 165.00,  -0.52, 164.48
   309,27,  37.50,   1.94,  39.44
   310,27,  89.00,   2.31,  91.31
   311,27, 148.00,   0.57, 148.57
   312,27, 114.50,   1.62, 116.12
   313,27, 101.00,   2.21, 103.21
   314,27,  41.00,   1.95,  42.95
   315,27,  59.00,   1.86,  60.86
   316,27, 155.50,   0.21, 155.71
   317,27, 112.00,   1.86, 113.86
   318,27, 107.50,   2.10, 109.60
   319,27, 156.00,   0.09, 156.09
   320,27,  67.00,   2.38,  69.38
   321,27, 118.50,   1.13, 119.63
   322,27, 166.50,  -0.51, 165.99
   323,27, 150.00,   0.57, 150.57
   324,27,  27.00,   1.79,  28.79
   325,27, 105.50,   1.60, 107.10
   326,27,  24.50,   1.41,  25.91
   327,27, 129.00,   1.15, 130.15
   328,27,  75.00,   2.40,  77.40
   329,27,  42.00,   1.95,  43.95
   330,27, 129.00,   1.15, 130.15
   331,27,  84.50,   2.55,  87.05
   332,27,  25.00,   1.91,  26.91
   333,27,  44.00,   1.95,  45.95
   334,27,  95.00,   1.57,  96.57
   335,27,  33.50,   1.68,  35.18
   336,27,  98.00,   1.96,  99.96
   337,27, 134.50,   1.04, 135.54
   338,27, 122.50,   1.51, 124.01
   339,27,  99.00,   2.08, 101.08
   340,27,  89.00,   2.44,  91.44
   341,27,  72.00,   2.40,  74.40
   342,27,  80.50,   1.66,  82.16
   343,27, 116.00,   1.12, 117.12
   344,27, 146.50,   0.32, 146.82
   345,27,  49.00,   2.47,  51.47
   346,27, 133.50,   1.04, 134.54
   347,27,  56.50,   2.11,  58.61
   348,27, 120.00,   1.13, 121.13
   349,27, 136.00,   0.79, 136.79
   350,27, 155.00,   0.34, 155.34
   351,27,  20.00,   1.15,  21.15
   352,27,  31.00,   1.30,  32.30
   353,27,  26.00,   1.91,  27.91
   354,27, 150.50,   0.20, 150.70
   355,27,  73.00,   2.27,  75.27
   356,27,  97.50,   1.58,  99.08
   357,27, 108.00,   1.23, 109.23
   358,27,  31.50,   1.92,  33.42
   359,27,  75.00,   2.15,  77.15
   360,27,  38.00,   2.07,  40.07
   361,27, 117.50,   1.50, 119.00
   362,27,  91.50,   2.07,  93.57
   363,27,  32.50,   1.80,  34.30
   364,27,  19.00,   0.89,  19.89
   365,27, 148.00,  -0.06, 147.94
   366,27,  37.50,   1.94,  39.44
   367,27,  97.50,   1.58,  99.08
   368,27,  66.50,   2.51,  69.01
   369,27,  63.00,   2.37,  65.37
   370,27, 124.00,   1.14, 125.14
   371,27,  38.50,   1.94,  40.44
   372,27, 102.50,   1.47, 103.97
   373,27,  45.00,   1.96,  46.96
   374,27, 117.00,   1.12, 118.12
   375,27,  36.50,   1.94,  38.44
   376,27,  88.50,   2.06,  90.56
   377,27,  73.50,   2.52,  76.02
   378,27, 128.00,   1.15, 129.15
   379,27,  92.00,   2.07,  94.07
   380,27, 136.50,   0.67, 137.17
   381,27,  39.50,   1.94,  41.44
   382,27,  53.50,   1.60,  55.10
   383,27,  56.00,   1.48,  57.48
   384,27,  52.50,   2.35,  54.85
   385,27,  76.00,   2.03,  78.03
   386,27,  96.00,   1.83,  97.83
   387,27,  54.50,   2.10,  56.60
   388,27, 129.50,   1.15, 130.65
   389,27,  88.00,   2.43,  90.43
   390,27,  25.50,   1.41,  26.91
   391,27, 101.00,   1.96, 102.96
   392,27, 132.50,   1.03, 133.53
   393,27,  21.00,   1.02,  22.02
   394,27,  92.00,   1.82,  93.82
   395,27, 141.00,   0.93, 141.93
   396,27,  91.50,   2.07,  93.57
   397,27, 151.00,   0.33, 151.33
   398,27,  70.50,   2.52,  73.02
   399,27,  53.50,   1.85,  55.35
   400,27,  43.00,   1.95,  44.95
   401,27,  10.50,  -0.13,  10.37
   402,27, 155.50,   0.09, 155.59
   403,27, 124.00,   1.64, 125.64
   404,27, 149.00,   0.57, 149.57
   405,27, 135.50,   1.17, 136.67
   406,27,  62.00,   2.00,  64.00
   407,27,  66.50,   1.88,  68.38
   408,27,  28.50,   1.92,  30.42
   409,27, 134.50,   0.66, 135.16
   410,27,  94.50,   2.32,  96.82
   411,27, 141.50,   0.68, 142.18
   412,27, 146.50,   0.57, 147.07
   413,27,  95.00,   2.20,  97.20
   414,27, 160.00,  -0.28, 159.72
   415,27, 125.50,   1.64, 127.14
   416,27, 131.50,   0.66, 132.16
   417,27,  22.00,   1.28,  23.28
   418,27,  64.00,   2.00,  66.00
   419,27,  60.00,   2.49,  62.49
   420,27,  59.50,   1.87,  61.37
   421,27,  29.00,   1.67,  30.67
   422,27, 142.00,   0.56, 142.56
   423,27, 163.50,  -0.02, 163.48
   424,27,  16.00,   0.89,  16.89
   425,27,  54.50,   1.98,  56.48
   426,27, 130.50,   0.78, 131.28
   427,27, 159.00,  -0.03, 158.97
   428,27,  75.50,   2.40,  77.90
   429,27, 131.50,   1.03, 132.53
   430,27,  22.00,   1.15,  23.15
   431,27, 160.00,  -0.28, 159.72
   432,27,  17.00,   0.39,  17.39
   433,27,  58.50,   1.99,  60.49
   434,27, 124.00,   1.01, 125.01
   435,27,  53.50,   1.98,  55.48
   436,27,  74.50,   1.90,  76.40
   437,27, 162.50,  -0.40, 162.10
   438,27,  48.50,   1.96,  50.46
   439,27, 100.50,   1.46, 101.96
   440,27,  31.50,   2.05,  33.55
   441,27, 143.50,   0.56, 144.06
   442,27,  51.00,   1.97,  52.97
   443,27, 141.00,   0.55, 141.55
   444,27,  66.50,   2.26,  68.76
   445,27, 107.50,   1.23, 108.73
   446,27,  74.00,   2.28,  76.28
   447,27,  90.00,   1.81,  91.81
   448,27,  45.50,   1.96,  47.46
   449,27, 100.50,   1.84, 102.34
   450,27, 163.50,  -0.40, 163.10
   451,27,  21.50,   1.40,  22.90
   452,27,  74.50,   2.03,  76.53
   453,27, 153.00,   0.21, 153.21
   454,27, 155.00,  -0.17, 154.83
   455,27,  11.50,  -0.25,  11.25
   456,27, 153.00,  -0.04, 152.96
   457,27,  17.00,   0.51,  17.51
   458,27, 129.00,   1.03, 130.03
   459,27,  53.50,   2.35,  55.85
   460,27,  75.00,   2.40,  77.40
   461,27,  26.50,   1.29,  27.79
   462,27,  95.50,   1.57,  97.07
   463,27,  63.00,   2.37,  65.37
   464,27,  41.50,   1.95,  43.45
   465,27,  76.50,   2.03,  78.53
   466,27,  78.00,   2.03,  80.03
   467,27,  39.00,   1.94,  40.94
   468,27,  84.50,   2.05,  86.55
   469,27, 132.50,   1.03, 133.53
   470,27,  68.50,   2.51,  71.01
   471,27, 116.50,   1.12, 117.62
   472,27,  41.50,   1.95,  43.45
   473,27, 164.50,  -0.64, 163.86
   474,27,  48.50,   1.84,  50.34
   475,27,  21.00,   0.90,  21.90
   476,27,  59.50,   1.87,  61.37
   477,27,  51.00,   1.97,  52.97
   478,27,  69.50,   1.89,  71.39
   479,27,  92.50,   1.94,  94.44
   480,27,  67.00,   2.51,  69.51
   481,27,  66.00,   2.26,  68.26
   482,27,  66.50,   1.76,  68.26
   483,27,  68.50,   1.39,  69.89
   484,27,  55.00,   1.98,  56.98
   485,27, 162.50,  -0.40, 162.10
   486,27,  20.00,   1.02,  21.02
   487,27,  50.50,   1.97,  52.47
   488,27, 107.50,   1.35, 108.85
   489,27, 163.50,  -0.27, 163.23
   490,27,  25.50,   1.41,  26.91
   491,27,  33.50,   1.43,  34.93
   492,27,  80.00,   2.04,  82.04
   493,27, 146.00,   0.69, 146.69
   494,27,  19.00,   0.64,  19.64
   495,27,  44.00,   1.95,  45.95
